class,采集时间,纵向变位平均值,纵向变位标准差,横向变位平均值,横向变位标准差
0,2021-04-27 19:00:00.000,-0.879933730469775,4.743695111726131,-5.464606726462814,1.530032779439809
1,2021-04-27 19:10:00.000,-0.709480389036451,2.4987196497424637,-6.374000676683286,1.8625786540331535
2,2021-04-27 19:20:00.000,3.2050873312594925,4.979918423117286,-2.862073756818934,1.6287789274201698
3,2021-04-27 19:30:00.000,-5.328302237431466,3.5412862310396735,-6.9533754893041,2.761492381683253
4,2021-04-27 19:40:00.000,-14.475314969147275,2.4426901941159573,-11.550612378863061,1.7341212811044897
5,2021-04-27 19:50:00.000,-15.079528417996132,2.6065625420816434,-9.97248844095223,1.3660710516816101
6,2021-04-27 20:00:00.000,-9.02872567366872,2.4915860804545873,-7.059508894971549,2.239486630267857
7,2021-04-27 20:10:00.000,-2.7735922858673536,4.42268666331059,-6.416973996960081,2.6590432392413668
8,2021-04-27 20:20:00.000,-0.4228836671736766,5.111184468545035,-7.336742518627426,2.2347487963769015
9,2021-04-27 20:30:00.000,-2.593071434279111,2.8787391841784347,-8.46862660330015,1.6760793148409263
10,2021-04-27 20:40:00.000,-4.203957062651484,2.582481276089708,-7.923387880557888,2.100274041741775
11,2021-04-27 20:50:00.000,-3.8952532873554446,2.3594091715676897,-7.378376121686713,2.2975002020824054
12,2021-04-27 21:00:00.000,-4.26861797436134,1.6045146927755993,-8.642231862790446,1.8627494931715376
13,2021-04-27 21:10:00.000,-4.9882350513864955,2.491054644894218,-12.084053258487137,1.9405188263331843
14,2021-04-27 21:20:00.000,-7.8986698244134494,2.9300986728817695,-10.503630846817758,2.3737859901321725
15,2021-04-27 21:30:02.000,-7.059310757995109,2.2154806733861476,-13.636941210509532,2.146575170548479
16,2021-04-27 21:40:00.000,-5.383075978388637,2.4328136662684385,-14.667634994605052,1.4447590111695923
17,2021-04-27 21:50:00.000,-5.499709247347188,1.75230945577682,-14.114064438469002,2.924442155257393
18,2021-04-27 22:00:00.000,-2.53506229153737,4.079331420686694,-11.342910349871966,3.2465592406103614
19,2021-04-27 22:10:00.000,-2.875768235943905,3.803575947108345,-10.896102570333337,1.7703332245974979
20,2021-04-27 22:20:00.000,-1.1724847152056836,2.8358701984454333,-8.929618982437713,1.7561714596239253
21,2021-04-27 22:30:00.000,2.6238226677081085,1.8819048556931126,-4.735087475892602,2.417674653023849
22,2021-04-27 22:40:00.000,0.34018339738287356,2.8775846375312595,-8.403053123254487,2.078944763203335
23,2021-04-27 22:50:00.000,2.6009284155542454,2.0163338782882487,-6.474163251321013,1.9551812368819759
24,2021-04-27 23:00:00.000,0.6478687251527347,2.867334627940521,-7.057896202473319,1.6280205262493035
25,2021-04-27 23:10:00.000,-0.6062839380250736,1.5965452839618095,-7.712093210384464,1.491688372111422
26,2021-04-27 23:20:00.000,-1.4488876804606634,1.7762585281377636,-7.831889111924171,1.7856382257325116
27,2021-04-27 23:30:00.000,-1.0512053407187962,3.42215396915351,-6.0916458629457955,2.1100989787957594
28,2021-04-27 23:40:00.000,-2.2534803536186554,2.7212381106592116,-4.02544874043856,2.240403408940471
29,2021-04-27 23:50:00.000,3.017463969383296,2.7366286147626213,-7.994402073828461,2.3493498661481436
30,2021-04-28 00:00:00.000,4.949907712718823,3.0152999426793152,-12.02510739420253,1.6468974259431075
31,2021-04-28 00:10:00.000,6.577091341093166,1.8480091104566394,-7.134819355356469,1.9154873719369705
32,2021-04-28 00:20:00.000,-0.5767930701276108,2.6697851493082227,-3.226602613470497,2.185309191207603
33,2021-04-28 00:30:00.000,3.462307130289129,2.1436378941330223,0.22142838917866248,2.4960836094586876
34,2021-04-28 00:40:00.000,4.734306224744574,2.1512240940115515,5.072609398157699,2.8207462919590816
35,2021-04-28 00:50:00.000,4.855962192483699,2.5795453299933198,0.4333283926467763,2.6351211899392575
36,2021-04-28 01:00:00.000,5.336388466034308,3.167510307097714,-3.490158338426372,3.3034108465463796
37,2021-04-28 01:10:00.000,9.59536753716228,1.5164365871505454,-5.952573453422716,1.726075537931099
38,2021-04-28 01:20:00.000,9.954400640502248,1.951356302212664,-8.376228062683225,2.7171367484710567
39,2021-04-28 01:30:00.000,11.524338424693232,3.94611513313894,-6.343775549892762,2.187239339644317
40,2021-04-28 01:40:00.000,12.22378005453756,4.064250915315244,-4.680246199642692,2.09649195932624
41,2021-04-28 01:50:00.000,15.841291872053334,2.956944938275112,-3.766481234338928,2.174731151660751
42,2021-04-28 02:00:00.000,12.94211627687484,2.8389881183505525,0.45372931902151786,2.784584051433251
43,2021-04-28 02:10:00.000,14.092291801902322,2.49220982901669,0.19947894217505382,2.5161804146254774
44,2021-04-28 02:20:00.000,11.886002142598802,2.5560626638364043,0.4576803815090595,2.3788930690995507
45,2021-04-28 02:30:00.000,19.965253509676142,3.325797437903728,-2.3392360518118522,1.7196511564127064
46,2021-04-28 02:40:00.000,20.18859257849694,2.316760248668128,0.6216360277912614,2.623334803561725
47,2021-04-28 02:50:00.000,16.5559184882541,4.275646282358879,-0.2985659166160878,2.04761803103805
48,2021-04-28 03:00:00.000,9.083716281570737,2.684587305953048,-2.7823290937514216,1.7504085703831629
49,2021-04-28 03:10:00.000,4.7582218436203565,3.0011270679501565,-5.508955807225993,1.8414108602746937
50,2021-04-28 03:20:00.000,8.903294381781024,2.87770577769042,-4.700526310505009,2.033901044541145
51,2021-04-28 03:30:00.000,9.772208461721522,4.508387621866135,-6.713599894584598,2.569755452135186
52,2021-04-28 03:40:00.000,7.238865848062042,2.851008060689047,-8.2915011922482,3.172311589612184
53,2021-04-28 03:50:00.000,12.61492524585392,2.0289436263839953,-2.603835333005089,2.1093923158397687
