class,采集时间,横向加速度平均值,横向加速度标准差
0,2021-04-27 19:00:00.000,-2.2250285172016437e-06,0.00271816026735513
1,2021-04-27 19:10:00.000,1.701101977644374e-06,0.0008405664880709409
2,2021-04-27 19:20:00.000,-1.7509399396310388e-07,0.000982724245087629
3,2021-04-27 19:30:00.000,-1.0153605621673343e-07,0.0008283863435888753
4,2021-04-27 19:40:00.000,-2.3003197139042562e-10,0.0005088458928823955
5,2021-04-27 19:50:00.000,-5.708057836329678e-07,0.0007807662829278058
6,2021-04-27 20:00:00.000,-3.8231329666542313e-07,0.0008665668632169569
7,2021-04-27 20:10:00.000,4.846586412124381e-07,0.0010260575422439612
8,2021-04-27 20:20:00.000,2.1908667300784476e-07,0.001620073564767867
9,2021-04-27 20:30:00.000,-5.10313110288787e-07,0.0007485224125159699
10,2021-04-27 20:40:00.000,2.0164937898877603e-07,0.0005843760365848382
11,2021-04-27 20:50:00.000,-4.8533156523193e-07,0.00048028463970998896
12,2021-04-27 21:00:00.000,-2.8364173122461933e-06,0.0008143699744280374
13,2021-04-27 21:10:00.000,-8.028173081302941e-08,0.0011403591320870402
14,2021-04-27 21:20:00.000,1.7533303444944467e-07,0.0005416052372349117
15,2021-04-27 21:30:02.000,5.66294933609129e-07,0.0006067566457324629
16,2021-04-27 21:40:00.000,-3.955618557739162e-08,0.0002570856071461798
17,2021-04-27 21:50:00.000,-1.1220394900693194e-07,0.0003399380532095966
18,2021-04-27 22:00:00.000,-1.7773119060157897e-06,0.0006603896006074786
19,2021-04-27 22:10:00.000,3.905649835298832e-07,0.0012720228215985937
20,2021-04-27 22:20:00.000,1.3378489842404534e-07,0.0007532372268279662
21,2021-04-27 22:30:00.000,1.575696801065298e-07,0.0010532103587769927
22,2021-04-27 22:40:00.000,3.709702894957235e-07,0.00034830008610103733
23,2021-04-27 22:50:00.000,-1.947683369543971e-06,0.0007394104918849308
24,2021-04-27 23:00:00.000,1.0340744528723364e-06,0.0005813526475907609
25,2021-04-27 23:10:00.000,8.806291572641525e-07,0.000681587402994918
26,2021-04-27 23:20:00.000,-7.167359311612051e-06,0.00034669024471801514
27,2021-04-27 23:30:00.000,3.9840778319934956e-07,0.0007518174714764741
28,2021-04-27 23:40:00.000,7.270267922039196e-07,0.000352296182076298
29,2021-04-27 23:50:01.000,8.585173642225983e-07,0.0002912983825892113
30,2021-04-28 00:00:00.000,2.756019496058771e-06,0.0008299540547610141
31,2021-04-28 00:10:00.000,5.963593835026905e-07,0.0003519729056721249
32,2021-04-28 00:20:01.000,-9.379874614823876e-07,0.00032511258163620867
33,2021-04-28 00:30:00.000,-7.312609046875797e-07,0.0002487806944382655
34,2021-04-28 00:40:00.000,-2.359749660604349e-07,0.0008097591772956361
35,2021-04-28 00:50:00.000,6.881598173704838e-07,0.0011097410781572758
36,2021-04-28 01:00:00.000,-3.42289779646816e-08,0.0010215501615202754
