,采集时段,总风速,纵桥向风速,横桥向风速,竖向风速,Ix,Iy,Iz,温度平均值,湿度平均值,纵向变位平均值,纵向变位标准差,横向变位平均值,横向变位标准差,竖向变位平均值,竖向变位标准差,横向加速度平均值,横向加速度标准差,竖向加速度平均值,竖向加速度标准差
0,2021-04-27 19:00:00.000,0.918964241604582,0.555902080547153,0.2131608397024874,0.0009291275979265,0.6821331646371391,1.324334850760859,0.0080238283103038,23.3707,45.60758333333333,-0.879933730469775,4.743695111726131,-5.464606726462814,1.530032779439809,-12.772507440476277,16.965512235701503,-2.225028517201644e-06,0.0027181602673551,-2.5341228153411623e-06,0.0203616860005712
1,2021-04-27 19:10:00.000,1.063642785003658,-0.8609476147988688,0.4935215889240983,0.0014457052694417,0.3446208168283173,0.4113057142335028,0.0029918110872815,23.363613445378157,45.74131092436975,-0.709480389036451,2.498719649742464,-6.374000676683286,1.8625786540331533,-5.796788273589713,4.781439559132659,1.701101977644374e-06,0.0008405664880709,5.280114267596631e-06,0.0042044526848007
2,2021-04-27 19:20:00.000,1.0007011004626702,-0.6264204787836356,0.7579208333471176,0.0016861813308942,0.1690406812991453,0.1944466626937863,0.0015256610774753,23.35217171717172,45.56649831649832,3.2050873312594925,4.979918423117286,-2.862073756818934,1.6287789274201698,-5.721975380984719,5.0256421372649,-1.750939939631039e-07,0.0009827242450876,3.9847842205642505e-06,0.0060520636598365
3,2021-04-27 19:30:00.000,1.2564726994699502,-0.4249536073927554,1.1641583877351636,0.0022108603846321,0.1576337192927536,0.1626099486105255,0.001186385584973,23.346466666666668,45.52366666666666,-5.328302237431466,3.541286231039673,-6.9533754893041,2.761492381683253,-6.140252353869055,5.489235725649896,-1.0153605621673345e-07,0.0008283863435888,2.4255221130466905e-06,0.0047724622204199
4,2021-04-27 19:40:00.000,1.3664261187833602,0.2121157729412743,1.3112048927476607,0.003366643927993,0.1797612109676069,0.2617674211684924,0.0012053357069567,23.32973333333333,45.52826666666667,-14.475314969147275,2.4426901941159573,-11.55061237886306,1.7341212811044897,-5.999858753666473,5.1981724287286895,-2.300319713904256e-10,0.0005088458928823,-1.2453487783513091e-06,0.0028088057215649
5,2021-04-27 19:50:00.000,1.504927080487957,0.6775278087777439,1.3041070330260691,0.002406537767222,0.2868027799716538,0.1706566124371525,0.0019487962246259,23.309695945945947,45.58886824324325,-15.079528417996132,2.6065625420816434,-9.97248844095223,1.36607105168161,-5.98229237624896,4.667259323581017,-5.708057836329678e-07,0.0007807662829278,2.388505723011301e-06,0.0045466157378436
6,2021-04-27 20:00:00.000,1.2576328266853622,0.5978974778619386,1.0754225840977365,0.0018830469615735,0.2500006881402772,0.1490013189544627,0.0018313097360103,23.2841,45.69786666666667,-9.02872567366872,2.4915860804545877,-7.059508894971549,2.239486630267857,-6.577828126242219,5.757327132236457,-3.8231329666542313e-07,0.0008665668632169,-8.426157373842624e-08,0.0044386849972187
7,2021-04-27 20:10:00.000,1.3955751774842338,0.6927929142400564,1.1869579787234752,0.001808695097349,0.2443734842531854,0.1315172202441289,0.0015605453061463,23.247116666666667,45.78015,-2.7735922858673536,4.42268666331059,-6.416973996960081,2.6590432392413668,-7.528069237117796,6.574149601195493,4.846586412124381e-07,0.0010260575422439,-7.505170503773413e-07,0.0062913120977324
8,2021-04-27 20:20:00.000,2.1036071108501657,0.5519465343363118,2.028211653038361,0.0037119846903311,0.0603349316598809,0.0369616990626866,0.0004110175024743,23.2066,45.85543333333334,-0.4228836671736766,5.111184468545035,-7.336742518627426,2.234748796376901,-7.307663690476326,5.61480943211128,2.190866730078448e-07,0.0016200735647678,1.1669012472723098e-06,0.0069798597217897
9,2021-04-27 20:30:00.000,2.1188859317919837,0.7844405440237204,1.9648001969127784,0.0033492093960349,0.0955221791326803,0.0446902698708015,0.0005213048746309,23.16908026755853,45.97127090301003,-2.593071434279111,2.8787391841784347,-8.46862660330015,1.6760793148409263,-7.001103329175982,5.119506433728403,-5.10313110288787e-07,0.0007485224125159,-7.249434803428926e-06,0.0031611081647668
10,2021-04-27 20:40:00.000,1.9035845364978128,0.5032285295256371,1.8191451676884705,0.003983657045311,0.1446361369552062,0.1330866773739226,0.000969824222808,23.111066666666662,46.07575,-4.203957062651484,2.582481276089708,-7.923387880557888,2.100274041741775,-7.3181092237466,5.437765565234545,2.0164937898877605e-07,0.0005843760365848,1.2634198912639138e-06,0.0031156169856159
11,2021-04-27 20:50:00.000,2.2793594983470475,0.2548002204826353,2.255696747840417,0.0044663622478078,0.1142951763257282,0.0969410498615652,0.0009175126776303,23.0481,46.26246666666667,-3.8952532873554446,2.3594091715676897,-7.378376121686713,2.2975002020824054,-7.83028212954365,5.5651694517343895,-4.8533156523193e-07,0.0004802846397099,1.523495828050753e-06,0.0025128834814919
12,2021-04-27 21:00:00.000,2.651184929840251,-0.1535525060185281,2.6396387869287725,0.0049696268971747,0.0885110118481052,0.0639770823344827,0.0005717027855567,22.99530201342282,46.406661073825504,-4.26861797436134,1.604514692775599,-8.642231862790446,1.8627494931715376,-8.818981003592842,5.625354861080645,-2.8364173122461933e-06,0.000814369974428,1.0002269005505685e-05,0.0053774452776584
13,2021-04-27 21:10:00.000,2.705007361755664,-0.4320503252564995,2.6632768409487158,0.0049938827155758,0.1380520612075753,0.0737913137768977,0.0008189420227715,22.925766666666668,46.57763333333334,-4.988235051386496,2.491054644894218,-12.084053258487137,1.9405188263331845,-9.855443594813211,6.63983038116146,-8.028173081302942e-08,0.001140359132087,-4.0417711744442946e-08,0.0062513855531127
14,2021-04-27 21:20:00.000,2.0017046691030185,-0.7085137691547433,1.8468642202274557,0.0040115697602927,0.0914044277239839,0.1536062457559492,0.0006476955064363,22.862658862876252,46.72797658862876,-7.8986698244134494,2.930098672881769,-10.503630846817758,2.3737859901321725,-9.435868473895558,5.226940161696801,1.753330344494447e-07,0.0005416052372349,5.828864969219055e-07,0.0022741461715015
15,2021-04-27 21:30:00.000,1.7861782652124885,-1.2383671885123275,1.2247853079387487,0.0035404469124394,0.1578815529622819,0.1982251662043524,0.0009190205213339,22.79095,46.918216666666666,-7.059310757995109,2.215480673386148,-13.636941210509532,2.146575170548479,-10.599055003392817,5.547126598436828,5.66294933609129e-07,0.0006067566457324,-6.455725186311892e-06,0.0035340250757855
16,2021-04-27 21:40:00.000,2.4291154410086424,-2.336625210858416,0.605355435675123,0.0025380790916097,0.1360456092612743,0.1063669786220029,0.0004724302477061,22.716120401337797,47.10403010033445,-5.383075978388637,2.4328136662684385,-14.667634994605052,1.4447590111695925,-10.713851925424263,5.1701659443833945,-3.9556185577391625e-08,0.0002570856071461,1.1238153970223466e-06,0.0008923753771538
17,2021-04-27 21:50:00.000,2.512087956068151,-2.285319515008016,1.032567067920087,0.0036669941096604,0.0970816054861541,0.0922956378977136,0.0003826039923525,22.63735,47.25968333333333,-5.499709247347188,1.75230945577682,-14.114064438469002,2.924442155257393,-11.662126715092809,5.132043481830225,-1.1220394900693195e-07,0.0003399380532095,2.730478584475396e-07,0.0016420205880095
18,2021-04-27 22:00:00.000,1.8554832098524272,-1.7820454492114877,0.1602997330582071,0.0019791174486927,0.3056972824414002,0.0948616262313929,0.0008162271702899,22.57076923076923,47.39198996655519,-2.53506229153737,4.079331420686694,-11.342910349871966,3.2465592406103614,-11.701029409415268,5.864349460259764,-1.7773119060157897e-06,0.0006603896006074,7.557353139865527e-06,0.0041941754375059
19,2021-04-27 22:10:00.000,1.3583803330569686,-1.1870070861501694,-0.5689986238949054,-0.0003485836832563,0.2613660302617106,0.1779595777570656,0.002221762729977,22.49062289562289,47.492154882154885,-2.875768235943905,3.803575947108345,-10.896102570333335,1.770333224597498,-12.981691324950392,6.162062473253894,3.905649835298832e-07,0.0012720228215985,-2.843788146145484e-06,0.0050979893091817
20,2021-04-27 22:20:00.000,1.188148521857345,-1.170590859040331,-0.0433699511926718,0.0010424909659907,0.1465644872277031,0.3095563776687109,0.0010705553581898,22.41861204013378,47.65371237458194,-1.1724847152056836,2.8358701984454333,-8.929618982437713,1.7561714596239253,-12.399878398652968,5.917946349464383,1.3378489842404534e-07,0.0007532372268279,5.401005513896824e-06,0.0046342016010105
21,2021-04-27 22:30:00.000,1.2235530189963144,-1.1139941590291769,0.4491206552415783,0.0015667195076231,0.2568351977652479,0.2139693951085758,0.0026096057757286,22.341275167785238,47.79796979865772,2.6238226677081085,1.8819048556931128,-4.735087475892602,2.417674653023849,-13.470104728212132,6.537586290675248,1.575696801065298e-07,0.0010532103587769,1.2166994472695263e-05,0.0077608192050507
22,2021-04-27 22:40:00.000,1.5036119077132486,-1.433378709214742,0.3328589532343355,0.0023531897125368,0.1786097803403607,0.1738378237874143,0.0009579315119009,22.27765,48.018233333333335,0.3401833973828735,2.8775846375312595,-8.403053123254487,2.078944763203335,-12.89225256535611,5.563806628044373,3.709702894957235e-07,0.000348300086101,-1.145801157049439e-05,0.0015161312012377
23,2021-04-27 22:50:00.000,1.131112674466634,-1.1215882463104658,-0.0280984134914216,0.0012510417100561,0.126829220336806,0.1643353050110693,0.0011511944534781,22.197986577181208,48.34647651006711,2.6009284155542454,2.0163338782882487,-6.474163251321013,1.955181236881976,-13.621532695585472,6.076012941273662,-1.947683369543971e-06,0.0007394104918849,7.753184655378855e-06,0.0040832378792441
24,2021-04-27 23:00:00.000,0.9710077632702554,-0.9322712861956206,-0.1920586969417665,-0.000260263528707,0.2040184229346541,0.138098631322412,0.0013486856127978,22.1190404040404,48.67176767676767,0.6478687251527347,2.867334627940521,-7.057896202473319,1.6280205262493035,-13.375695002068282,5.721833640614941,1.0340744528723364e-06,0.0005813526475907,7.970065039227559e-06,0.0035626920382397
25,2021-04-27 23:10:00.000,1.0893939833818231,-1.054412115881884,-0.0170955467328636,0.0009775484321354,0.2657592258789998,0.184643337042947,0.0015225060218448,22.03223333333333,48.843583333333335,-0.6062839380250736,1.5965452839618095,-7.712093210384464,1.491688372111422,-13.457070860712266,5.697298919991613,8.806291572641525e-07,0.0006815874029949,5.280269262302939e-06,0.0036559194916543
26,2021-04-27 23:20:00.000,0.8325256167661997,-0.7427579027735268,-0.1905739196173455,0.0010188884116107,0.4391691562923493,0.2374923597031953,0.0023414260996143,21.940919732441472,48.89882943143812,-1.4488876804606634,1.7762585281377636,-7.831889111924171,1.7856382257325116,-13.47633683785376,5.314007050083266,-7.167359311612051e-06,0.000346690244718,-7.062271963100901e-06,0.0013706453093856
