class,采集时间,竖向加速度平均值,竖向加速度标准差
131,2021-05-04 21:50:00.000,-1.4473704189982924e-06,0.006206148051763501
132,2021-05-04 22:00:00.000,-4.808556445696295e-06,0.009317458363902218
133,2021-05-04 22:10:00.000,3.384258132775975e-07,0.004774787323667398
134,2021-05-04 22:20:01.000,-1.0544264153728684e-06,0.0051619989338404304
135,2021-05-04 22:30:00.000,-4.917889752268947e-06,0.008050314246034517
136,2021-05-04 22:40:00.000,4.7012941301364704e-06,0.010566579274123163
137,2021-05-04 22:50:00.000,2.1976797459772916e-06,0.005343184416889543
138,2021-05-04 23:00:00.000,2.6771607037190254e-05,0.008728375158387734
139,2021-05-04 23:10:00.000,5.170282622619103e-06,0.007112640045429362
140,2021-05-04 23:20:00.000,1.5624012945656517e-06,0.00767684794694452
141,2021-05-04 23:30:00.000,3.565875508050102e-06,0.0024226869619164925
142,2021-05-04 23:40:00.000,-2.3277694734126356e-06,0.00698272549086463
143,2021-05-04 23:50:00.000,-3.856277857522616e-06,0.003674474189241451
144,2021-05-05 00:00:00.000,-3.4437935036179434e-06,0.00898289501118621
145,2021-05-05 00:10:00.000,1.178352574774229e-06,0.006242108812259679
146,2021-05-05 00:20:00.000,1.2754666068052682e-06,0.008600476438954964
147,2021-05-05 00:30:00.000,-4.548433550186085e-07,0.006459923667162593
148,2021-05-05 00:40:00.000,7.858788880187744e-06,0.007188532265335105
149,2021-05-05 00:50:00.000,-3.819662823147263e-06,0.0069200046303937845
150,2021-05-05 01:00:00.000,4.47588785505518e-06,0.00635784475896861
151,2021-05-05 01:10:00.000,4.418153114703463e-06,0.0012396499862206954
152,2021-05-05 01:20:00.000,-1.3318798966409768e-05,0.008151328032686896
153,2021-05-05 01:30:00.000,1.568642728586699e-05,0.00217049182881123
154,2021-05-05 01:40:00.000,-2.7717272479056497e-06,0.005723661395878276
155,2021-05-05 01:50:00.000,-1.1956182124833552e-05,0.004996219210585758
156,2021-05-05 02:00:01.000,-7.281726276320724e-06,0.0013493578760249607
157,2021-05-05 02:10:00.000,-4.705725860219233e-06,0.004386591634777373
158,2021-05-05 02:20:00.000,4.1841619710847015e-06,0.00914294437618932
159,2021-05-05 02:30:01.000,7.292348063779165e-06,0.002358399534678413
160,2021-05-05 02:40:00.000,-1.2796428462538948e-07,0.0008015109629228391
161,2021-05-05 02:50:00.000,9.337877719645745e-07,0.003383610067304197
162,2021-05-05 03:00:01.000,5.598648889947208e-06,0.00425796840850824
163,2021-05-05 03:10:00.000,4.160300078513638e-06,0.002240968429653214
164,2021-05-05 03:20:00.000,1.127458277012242e-06,0.0033931503090048093
165,2021-05-05 03:30:00.000,2.6228534664287536e-06,0.006156994388987644
166,2021-05-05 03:40:00.000,-3.012642669582903e-06,0.004809454874857074
167,2021-05-05 03:50:00.000,-3.7505513264463995e-06,0.0018265813537462646
168,2021-05-05 04:00:00.000,8.439343481392782e-07,0.00647241599457942
169,2021-05-05 04:10:01.000,2.839519174134714e-06,0.0007189617921770918
170,2021-05-05 04:20:00.000,5.440695611101987e-07,0.004673826500971353
171,2021-05-05 04:30:00.000,5.218139220087993e-07,0.0036074261269388825
172,2021-05-05 04:40:00.000,8.854231270135023e-06,0.004631287939907485
173,2021-05-05 04:50:00.000,-1.7299736309956347e-06,0.0038921599635470543
174,2021-05-05 05:00:00.000,4.686658897939135e-06,0.006121524797292643
175,2021-05-05 05:10:00.000,1.6547409864776846e-05,0.0058252598232744765
176,2021-05-05 05:20:00.000,4.651921100819847e-06,0.004730927731743648
177,2021-05-05 05:30:00.000,4.2635768122086215e-05,0.004799529238314382
178,2021-05-05 05:40:01.000,-1.2947218504297434e-05,0.005661801119842525
179,2021-05-05 05:50:00.000,-9.747840934639765e-06,0.005048238560082379
180,2021-05-05 06:00:00.000,1.363859660163242e-05,0.006826899558890433
181,2021-05-05 06:10:00.000,-9.884943968182405e-06,0.0035267949996844543
182,2021-05-05 06:20:00.000,-7.207835951074344e-06,0.0052004345144843565
183,2021-05-05 06:30:00.000,5.5327357727172134e-06,0.00683375718234974
184,2021-05-05 06:40:00.000,8.067361114168845e-06,0.0028931495368434636
185,2021-05-05 06:50:00.000,-7.731557463283273e-06,0.00693375907700459
186,2021-05-05 07:00:00.000,-4.072816880581892e-06,0.003515010617914241
187,2021-05-05 07:10:00.000,4.429735500104286e-06,0.006366835791084415
188,2021-05-05 07:20:00.000,1.4454167680580764e-06,0.005544955634099553
189,2021-05-05 07:30:00.000,-2.7847653355482236e-06,0.0052028272906703
190,2021-05-05 07:40:00.000,-4.585267450933325e-06,0.002079818437085429
191,2021-05-05 07:50:01.000,-2.585001500407102e-06,0.004079086637896632
192,2021-05-05 08:00:00.000,8.761084594925674e-07,0.005566380389312054
193,2021-05-05 08:10:00.000,-2.59479980016676e-06,0.0030317351904508437
194,2021-05-05 08:20:00.000,9.076660568530638e-07,0.003606096018004121
195,2021-05-05 08:30:00.000,2.5449856442000537e-06,0.0023285763684569925
196,2021-05-05 08:40:00.000,7.836440140629154e-06,0.005355225347900356
197,2021-05-05 08:50:00.000,2.4493186662497156e-06,0.005237550393232874
198,2021-05-05 09:00:00.000,-6.587081660720857e-06,0.0032164882279670515
199,2021-05-05 09:10:00.000,-1.1532549047169966e-06,0.004966137348457286
200,2021-05-05 09:20:00.000,1.162192190694332e-06,0.006013834558723643
201,2021-05-05 09:30:00.000,2.782072096082792e-06,0.003123603007511263
202,2021-05-05 09:40:00.000,-1.2892844633501308e-06,0.0051262187526171475
203,2021-05-05 09:50:00.000,3.062448686074835e-07,0.0023578730940172527
204,2021-05-05 10:00:00.000,-2.939047390942937e-07,0.004448819272136925
205,2021-05-05 10:10:00.000,6.025411700492232e-07,0.0023167494028538105
206,2021-05-05 10:20:00.000,2.7266339416438653e-07,0.00614696089822064
207,2021-05-05 10:30:00.000,-2.6483327721896966e-07,0.0022751531490534695
208,2021-05-05 10:40:00.000,2.5748484611706494e-06,0.0032768569279429207
209,2021-05-05 10:50:00.000,-3.523323554363215e-07,0.00213803058376316
210,2021-05-05 11:00:00.000,-2.1089504132268478e-06,0.0033423116948890557
211,2021-05-05 11:10:00.000,2.356948200879319e-06,0.0030767192795342056
212,2021-05-05 11:20:00.000,-7.037260623838975e-07,0.003916265479518575
213,2021-05-05 11:30:00.000,-1.4749693906025684e-06,0.0037588314237395216
214,2021-05-05 11:40:00.000,7.31892184949768e-06,0.006499159720875518
215,2021-05-05 11:50:00.000,8.231473972861528e-06,0.005941961217385052
216,2021-05-05 12:00:00.000,-2.6851504429069653e-06,0.002974347810015897
217,2021-05-05 12:10:00.000,-2.9984431043056184e-06,0.004963474112830965
218,2021-05-05 12:20:00.000,2.8599868334194945e-06,0.00273875203932809
219,2021-05-05 12:30:00.000,-1.9637057695638995e-06,0.0038590611076925194
220,2021-05-05 12:40:00.000,1.2765497496915462e-06,0.005416073790407883
221,2021-05-05 12:50:00.000,-2.986305072585802e-06,0.0036877339908265253
222,2021-05-05 13:00:00.000,7.185236724503556e-06,0.003063172225449087
223,2021-05-05 13:10:00.000,4.809581478793244e-06,0.0035407779836332726
224,2021-05-05 13:20:00.000,3.3308613523519093e-06,0.004020916390671699
225,2021-05-05 13:30:00.000,-2.1016027226656847e-06,0.005111672136915983
226,2021-05-05 13:40:00.000,6.865967570448093e-07,0.002888316059778706
227,2021-05-05 13:50:00.000,5.66918210608497e-07,0.006210325185898405
228,2021-05-05 14:00:00.000,-2.953133725818688e-07,0.004420362990434644
229,2021-05-05 14:10:00.000,-7.6174162056293255e-06,0.003719728127550195
230,2021-05-05 14:20:00.000,4.484840050079206e-06,0.004509580622149083
231,2021-05-05 14:30:00.000,-2.0217181366699707e-06,0.004471382823488091
232,2021-05-05 14:40:00.000,-1.4040839829586505e-06,0.00599601218322723
233,2021-05-05 14:50:00.000,1.9890243748794523e-06,0.0028144957889345863
234,2021-05-05 15:00:00.000,-9.083368250814138e-06,0.0034692689099386645
235,2021-05-05 15:10:00.000,9.303362835856207e-08,0.0038660624726462645
236,2021-05-05 15:20:00.000,-3.479931072972137e-06,0.00651136820138721
237,2021-05-05 15:30:00.000,3.3053612774661127e-06,0.0031788977879578335
238,2021-05-05 15:40:00.000,2.53357241961093e-06,0.0034817501630403217
239,2021-05-05 15:50:00.000,3.05709296486336e-06,0.0026610203847134755
240,2021-05-05 16:00:00.000,-7.526350871059418e-06,0.003178292543784353
241,2021-05-05 16:10:00.000,-3.439502969777895e-07,0.002643798992552539
242,2021-05-05 16:20:00.000,-1.8953773427903338e-07,0.0033065034047944086
243,2021-05-05 16:30:00.000,5.7787960958971955e-06,0.0030070914681010414
244,2021-05-05 16:40:00.000,-8.142097502896845e-06,0.007081524235604152
245,2021-05-05 16:50:00.000,-1.0942722169038704e-06,0.0044311836282389435
246,2021-05-05 17:00:00.000,-2.677483273028257e-06,0.003570344235324172
247,2021-05-05 17:10:00.000,3.824076726258323e-06,0.007605183202964509
248,2021-05-05 17:20:00.000,1.0480915538778242e-06,0.0048087835491233315
249,2021-05-05 17:30:00.000,2.4952467884265676e-06,0.005615050989032663
250,2021-05-05 17:40:00.000,3.7043736655027002e-06,0.0027741103451291477
251,2021-05-05 17:50:00.000,5.389952725794007e-07,0.002941036929548547
252,2021-05-05 18:00:00.000,1.4163662246477873e-06,0.002705099329808647
253,2021-05-05 18:10:00.000,8.965187536011683e-07,0.0033963408936961
254,2021-05-05 18:20:00.000,-3.504519825290711e-06,0.0033426929033975703
255,2021-05-05 18:30:00.000,9.306515535751657e-07,0.0032094389461691164
256,2021-05-05 18:40:00.000,5.87142890334497e-06,0.0039032141809373488
257,2021-05-05 18:50:00.000,-6.60347932065043e-06,0.006912039132847493
258,2021-05-05 19:00:00.000,4.747741183742134e-06,0.011871786715678762
259,2021-05-05 19:10:00.000,-4.500953246450795e-06,0.0018111298036435745
260,2021-05-05 19:20:00.000,1.4424590463543676e-05,0.002711730260937612
261,2021-05-05 19:30:00.000,-1.409315352321576e-05,0.009927472115596794
262,2021-05-05 19:40:00.000,-1.638483083827054e-05,0.009344240043861203
263,2021-05-05 19:50:00.000,-9.708950059063592e-07,0.0017123545337545366
264,2021-05-05 20:00:00.000,7.116805705851887e-06,0.0027986578517391054
265,2021-05-05 20:10:00.000,1.6382676869551504e-05,0.009100403108186458
266,2021-05-05 20:20:00.000,7.2303269477460764e-06,0.007710540921901906
267,2021-05-05 20:30:00.000,-3.4674790214879434e-06,0.006708765892960295
268,2021-05-05 20:40:00.000,7.793034510884984e-06,0.006806294149980674
269,2021-05-05 20:50:00.000,8.637830167078106e-07,0.0064878602632566515
270,2021-05-05 21:00:00.000,2.676341750098123e-07,0.0052352106717489235
271,2021-05-05 21:10:00.000,2.727999483928748e-06,0.0062870349772003765
272,2021-05-05 21:20:00.000,1.9405141577263393e-05,0.00875812479706148
273,2021-05-05 21:30:00.000,-1.1866833353581753e-06,0.008619473598854973
274,2021-05-05 21:40:00.000,2.24278612952961e-05,0.007271388886729315
275,2021-05-05 21:50:00.000,-6.577978584113859e-06,0.005539786219608428
276,2021-05-05 22:00:01.000,1.7349463972485931e-06,0.006253869304922853
277,2021-05-05 22:10:00.000,-8.738168435929216e-06,0.007535709309320736
278,2021-05-05 22:20:00.000,-4.8948241810084674e-06,0.006809532205851175
279,2021-05-05 22:30:00.000,-5.1390297682762e-05,0.010952537629407174
280,2021-05-05 22:40:00.000,4.176656761076636e-06,0.008690996534572039
281,2021-05-05 22:50:00.000,2.2539201093837666e-05,0.00697034858500364
282,2021-05-05 23:00:00.000,2.859705686015404e-06,0.002549267842807916
283,2021-05-05 23:10:00.000,-1.1902697414420475e-05,0.004786981235849542
284,2021-05-05 23:20:01.000,-2.1661656569619987e-05,0.00791914073590446
285,2021-05-05 23:30:00.000,-1.1532320944510445e-05,0.005651194331178206
286,2021-05-05 23:40:00.000,2.0767450762572233e-05,0.007460062201193301
287,2021-05-05 23:50:00.000,1.0174577832046891e-05,0.009428906353920342
