class,采集时间,竖向加速度平均值,竖向加速度标准差
0,2021-05-04 00:00:00.000,-9.050184176850478e-07,0.0024183178960087543
1,2021-05-04 00:10:00.000,1.0548201390735224e-06,0.0038124749411548435
2,2021-05-04 00:20:00.000,-1.285648935993164e-06,0.0025961086158734973
3,2021-05-04 00:30:00.000,1.4018409369072467e-06,0.002172139979982912
4,2021-05-04 00:40:00.000,1.7037768103406985e-06,0.004827164060677787
5,2021-05-04 00:50:00.000,3.3041835187265656e-07,0.0019249606172134985
6,2021-05-04 01:00:00.000,1.44583918978097e-06,0.0027414317444723066
7,2021-05-04 01:10:00.000,2.2662128520875982e-07,0.006621919180175662
8,2021-05-04 01:20:00.000,-3.03580218700224e-06,0.004313938348931481
9,2021-05-04 01:30:00.000,9.227343081493261e-07,0.00362274815127165
10,2021-05-04 01:40:00.000,-2.579650621697776e-07,0.001383008506258182
11,2021-05-04 01:50:00.000,2.005270172359337e-06,0.003267353582233874
12,2021-05-04 02:00:00.000,4.29903227966425e-08,0.004396506818462228
13,2021-05-04 02:10:00.000,1.7231936872071378e-06,0.002022015416273639
14,2021-05-04 02:20:00.000,-3.1989206482660555e-06,0.0006469638565252667
15,2021-05-04 02:30:00.000,-1.211161907879531e-06,0.0005697715961541171
16,2021-05-04 02:40:00.000,-6.065213301344552e-06,0.007138323114119518
17,2021-05-04 02:50:00.000,4.088283489071606e-06,0.0007517117752984452
18,2021-05-04 03:00:00.000,4.4920188922304283e-07,0.0043752040066685535
19,2021-05-04 03:10:00.000,-1.955014639583173e-06,0.0037982212037268983
20,2021-05-04 03:20:00.000,1.2227188043961446e-06,0.006167646157723611
21,2021-05-04 03:30:00.000,9.330490556970826e-07,0.0032069992013391366
22,2021-05-04 03:40:00.000,-2.0009276115337765e-06,0.0019930478648079717
23,2021-05-04 03:50:00.000,-5.396272119198047e-07,0.0016016150841869305
24,2021-05-04 04:00:00.000,5.898474390801144e-06,0.0036281425285155412
25,2021-05-04 04:10:00.000,-3.7594839912647726e-06,0.002290307159354009
26,2021-05-04 04:20:00.000,-3.156917060123001e-06,0.004777078227278252
27,2021-05-04 04:30:00.000,-3.8119063813335464e-06,0.0032852029764337664
28,2021-05-04 04:40:00.000,-6.238027409030665e-07,0.005864255632299458
29,2021-05-04 04:50:00.000,2.994700403165924e-06,0.0074506589818478155
30,2021-05-04 05:00:00.000,5.99950915692666e-08,0.004670761693723664
31,2021-05-04 05:10:00.000,9.29978279717648e-07,0.0055807779308616355
32,2021-05-04 05:20:00.000,-4.409073100303664e-06,0.006424892729999741
33,2021-05-04 05:30:00.000,1.9575435035379591e-07,0.006342023026916942
34,2021-05-04 05:40:00.000,2.2975366137932347e-06,0.0036608558273906145
35,2021-05-04 05:50:00.000,7.341330578060997e-06,0.006646932278631613
36,2021-05-04 06:00:00.000,3.5678457132680907e-06,0.008241815444417681
37,2021-05-04 06:10:00.000,-1.6258905032145597e-06,0.003212440640689608
38,2021-05-04 06:20:00.000,3.442822469522682e-06,0.002306534519239596
39,2021-05-04 06:30:00.000,4.533710518861291e-08,0.0016142523355934376
40,2021-05-04 06:40:00.000,-1.2808392231960902e-06,0.0036524806049658197
41,2021-05-04 06:50:00.000,2.7193024801671192e-06,0.004801738158177149
42,2021-05-04 07:00:00.000,3.7493533364939513e-06,0.007098584973008002
43,2021-05-04 07:10:00.000,1.7420867498194075e-06,0.002782039385511766
44,2021-05-04 07:20:00.000,-5.819460716657998e-07,0.002903493919016131
45,2021-05-04 07:30:00.000,-5.541365287262208e-06,0.0033722540200886134
46,2021-05-04 07:40:00.000,-1.2372074030847624e-05,0.0033725729756192355
47,2021-05-04 07:50:00.000,2.7883698590543125e-06,0.0038006332530246007
48,2021-05-04 08:00:00.000,2.897669900463458e-06,0.00526470070107067
49,2021-05-04 08:10:00.000,5.354694977233806e-06,0.0016642335531329546
50,2021-05-04 08:20:00.000,5.30801857788024e-07,0.0017493699291708552
51,2021-05-04 08:30:00.000,-1.5887125705089933e-06,0.001634646017099893
52,2021-05-04 08:40:00.000,4.532003829174825e-07,0.005175175714609317
53,2021-05-04 08:50:00.000,6.730680117480428e-07,0.004186788611197512
54,2021-05-04 09:00:00.000,-3.401204713523613e-06,0.005338961945880096
55,2021-05-04 09:10:00.000,-1.045533663678824e-05,0.004697229400578907
56,2021-05-04 09:20:00.000,-1.1466651917591446e-06,0.0035988017675822417
57,2021-05-04 09:30:00.000,1.9089742581648172e-06,0.002073644384824699
58,2021-05-04 09:40:00.000,-1.2535702198749147e-07,0.0024817073665216426
59,2021-05-04 09:50:00.000,-3.863954455190614e-06,0.004960374021419567
60,2021-05-04 10:00:00.000,1.4504466878258112e-05,0.004007458570492526
61,2021-05-04 10:10:00.000,-4.9367818762273966e-05,0.006073860911645885
62,2021-05-04 10:20:00.000,5.109051285621353e-06,0.004869456834913046
63,2021-05-04 10:30:00.000,1.4553140086945094e-05,0.008270051424818613
64,2021-05-04 10:40:00.000,1.6729996259177377e-05,0.0041851726964731205
65,2021-05-04 10:50:00.000,-8.089274816976448e-06,0.004979993903965259
66,2021-05-04 11:00:00.000,1.624000384485714e-05,0.005220253455096933
67,2021-05-04 11:10:00.000,1.3263240507265457e-05,0.006007159267874342
68,2021-05-04 11:20:00.000,-4.798392829744482e-06,0.005603467072080109
69,2021-05-04 11:30:00.000,-8.63674273787673e-06,0.0067221721780288445
70,2021-05-04 11:40:00.000,6.700120590877996e-06,0.0045837131323224175
71,2021-05-04 11:50:00.000,-1.3472700142026906e-08,0.009339583241913018
72,2021-05-04 12:00:00.000,8.270525748061205e-06,0.006054153843773317
73,2021-05-04 12:10:00.000,-6.1205229123816e-06,0.0063532467555629645
74,2021-05-04 12:20:00.000,-1.0902956253762421e-05,0.004513843795607933
75,2021-05-04 12:30:00.000,-1.2225014257094646e-05,0.005233423620191092
76,2021-05-04 12:40:00.000,-2.7527445465860273e-06,0.004931059704477866
77,2021-05-04 12:50:00.000,-7.025233475918208e-07,0.0033814172633753574
78,2021-05-04 13:00:00.000,5.246671008048258e-06,0.004376582358697286
79,2021-05-04 13:10:00.000,5.747130530837943e-07,0.004181857868520136
80,2021-05-04 13:20:00.000,3.280302485636335e-06,0.006172877470790539
81,2021-05-04 13:30:00.000,1.4094938867843468e-05,0.0050925523307434615
82,2021-05-04 13:40:00.000,-1.77986207697392e-05,0.004790506377236554
83,2021-05-04 13:50:00.000,4.503564372029761e-06,0.004353554903741829
84,2021-05-04 14:00:00.000,1.3728917089432449e-05,0.005150009667182775
85,2021-05-04 14:10:00.000,4.31831803543735e-05,0.005616070367094413
86,2021-05-04 14:20:00.000,-4.3390643151611e-06,0.004741270672725495
87,2021-05-04 14:30:00.000,-1.836573390685881e-05,0.0034853867265406792
88,2021-05-04 14:40:00.000,4.061669474543698e-06,0.0034600566607357035
89,2021-05-04 14:50:00.000,7.220675297830187e-06,0.002842616008685503
90,2021-05-04 15:00:00.000,8.45734284066166e-06,0.003619636267414983
91,2021-05-04 15:10:00.000,-5.5216549448964565e-06,0.005857088877111391
92,2021-05-04 15:20:00.000,-1.8193903499721431e-07,0.00609279495680428
93,2021-05-04 15:30:00.000,-1.7752339902882233e-06,0.0058132663376410905
94,2021-05-04 15:40:00.000,-9.131673732418175e-06,0.0030724913858124242
95,2021-05-04 15:50:00.000,-6.353748622775417e-07,0.0031681479404060257
96,2021-05-04 16:00:00.000,-3.3329171848953015e-06,0.002832028555922196
97,2021-05-04 16:10:00.000,-2.891327039001944e-06,0.0024411898221240857
98,2021-05-04 16:20:00.000,-1.1317013071635063e-05,0.003448119964525439
99,2021-05-04 16:30:00.000,4.454211989030376e-06,0.0034265226599736907
100,2021-05-04 16:40:00.000,-1.7853251705731212e-06,0.0030974863424343057
101,2021-05-04 16:50:00.000,1.9864106366385517e-06,0.0027456966462429226
102,2021-05-04 17:00:00.000,-1.6394418900676803e-06,0.0037912571627779536
103,2021-05-04 17:10:00.000,-1.6353907201458227e-05,0.00397447202182303
104,2021-05-04 17:20:00.000,3.191648062789031e-06,0.00580866073047413
105,2021-05-04 17:30:00.000,-1.12797169253747e-06,0.0026974919173016593
106,2021-05-04 17:40:00.000,-2.0224133039638777e-06,0.0029360810551305174
107,2021-05-04 17:50:00.000,-1.4967677549178145e-07,0.002343657856893609
108,2021-05-04 18:00:00.000,-3.7881542446816477e-06,0.005674688442510928
109,2021-05-04 18:10:00.000,-1.9196867371334793e-06,0.001995085465438839
110,2021-05-04 18:20:00.000,-5.4073162689048455e-06,0.001994971958117227
111,2021-05-04 18:30:00.000,8.313176184641683e-07,0.0018016253828012133
112,2021-05-04 18:40:00.000,-2.8365453137795746e-06,0.003858487844880187
113,2021-05-04 18:50:00.000,-5.195440397685058e-07,0.0019530756800985919
114,2021-05-04 19:00:00.000,2.953990265255806e-06,0.003589522033333464
115,2021-05-04 19:10:00.000,9.247030899746496e-07,0.00209970513977717
116,2021-05-04 19:20:00.000,-1.8241425998571854e-05,0.0036785886395921297
117,2021-05-04 19:30:00.000,3.1083883771779094e-05,0.006387047492113533
118,2021-05-04 19:40:00.000,1.2587811200726548e-05,0.0051008324011457655
119,2021-05-04 19:50:00.000,-1.29866395521469e-05,0.005572369507125622
120,2021-05-04 20:00:01.000,-5.872640816575254e-06,0.0033937360912100595
121,2021-05-04 20:10:00.000,-6.239817341829264e-06,0.005113031504264492
122,2021-05-04 20:20:00.000,3.2070165201392845e-05,0.008034419218703669
123,2021-05-04 20:30:00.000,1.681771696454666e-05,0.005015187253895397
124,2021-05-04 20:40:00.000,6.447215879693412e-06,0.008106461941832649
125,2021-05-04 20:50:00.000,-1.666119907482303e-05,0.008970457283800137
126,2021-05-04 21:00:00.000,1.1654907649863597e-07,0.006259821453580501
127,2021-05-04 21:10:00.000,3.7854168866370177e-06,0.006978858386628199
128,2021-05-04 21:20:00.000,3.4086438340871015e-06,0.006009032483842793
129,2021-05-04 21:30:01.000,3.7702181106003996e-06,0.005047477386811551
130,2021-05-04 21:40:00.000,-7.278187931842522e-06,0.00817347922501351
