class,采集时间,竖向变位平均值,竖向变位标准差
0,2021-05-04 00:00:00.000,0.26504665460106114,3.8707519528887593
1,2021-05-04 00:10:00.000,-0.7948582557500964,4.422763264201676
2,2021-05-04 00:20:00.000,-1.2662655732629777,3.9561036642137557
3,2021-05-04 00:30:00.000,-3.1340528309026743,3.822151804804992
4,2021-05-04 00:40:00.000,-4.598755091117049,5.084820076932694
5,2021-05-04 00:50:00.000,-4.828633039192312,4.115997628279655
6,2021-05-04 01:00:00.000,-5.325046733979575,3.5825167233360604
7,2021-05-04 01:10:00.000,-7.212992369766787,6.039677311349406
8,2021-05-04 01:20:00.000,-8.181572734579147,5.9909442240418675
9,2021-05-04 01:30:00.000,-7.736219487795288,4.594254979092345
10,2021-05-04 01:40:00.000,-8.549740639160662,4.248782122503284
11,2021-05-04 01:50:00.000,-9.416062096276995,4.5754989771415575
12,2021-05-04 02:00:00.000,-9.99392218001113,4.912363608165797
13,2021-05-04 02:10:00.000,-10.480786429763958,4.7599537787566755
14,2021-05-04 02:20:00.000,-11.007026009251094,4.493284865924893
15,2021-05-04 02:30:00.000,-12.801364304127977,4.930509766170634
16,2021-05-04 02:40:00.000,-15.134054681194632,6.272937052482836
17,2021-05-04 02:50:00.000,-14.175054203301414,4.280938064905422
18,2021-05-04 03:00:00.000,-14.393542692252614,4.939572792158849
19,2021-05-04 03:10:00.000,-14.699794704005132,4.668318207824098
20,2021-05-04 03:20:00.000,-15.931299603174768,6.473229777391596
21,2021-05-04 03:30:00.000,-15.634000657343172,5.118087570663139
22,2021-05-04 03:40:00.000,-15.705775186373822,4.623382429290606
23,2021-05-04 03:50:00.000,-15.700126822891848,5.099298344536061
24,2021-05-04 04:00:00.000,-17.25378787878797,5.340495852778151
25,2021-05-04 04:10:00.000,-19.32567642054318,5.140066624900857
26,2021-05-04 04:20:00.000,-21.08473055635902,5.621409017133347
27,2021-05-04 04:30:00.000,-19.955032830399688,5.649932282711235
28,2021-05-04 04:40:00.000,-20.220988021196185,6.251643305653905
29,2021-05-04 04:50:00.000,-20.736822156618196,5.533971210307729
30,2021-05-04 05:00:00.000,-20.8640392718024,5.6042978913276436
31,2021-05-04 05:10:00.000,-22.48660563871784,5.901200552457337
32,2021-05-04 05:20:00.000,-23.888240410827954,6.113810454461607
33,2021-05-04 05:30:00.000,-22.875547385818123,4.80752715973551
34,2021-05-04 05:40:00.000,-23.055148849445988,4.90053481796209
35,2021-05-04 05:50:00.000,-24.30793440674314,7.102499441035286
36,2021-05-04 06:00:00.000,-24.84777558427071,5.777686953042727
37,2021-05-04 06:10:00.000,-25.392575495578434,5.628982280749923
38,2021-05-04 06:20:00.000,-25.17087035138691,4.648018044826952
39,2021-05-04 06:30:00.000,-25.269661126624964,4.781366063257835
40,2021-05-04 06:40:00.000,-25.156229829275095,4.782175323144731
41,2021-05-04 06:50:00.000,-26.11519369084159,4.814674355270192
42,2021-05-04 07:00:00.000,-26.892920466058868,5.92320210177121
43,2021-05-04 07:10:00.000,-25.86048326321058,4.834665504744862
44,2021-05-04 07:20:00.000,-27.311254164549165,4.730622175053183
45,2021-05-04 07:30:00.000,-26.819727891156496,4.839786746803332
46,2021-05-04 07:40:00.000,-26.493517958030736,5.135249274406966
47,2021-05-04 07:50:00.000,-27.25216630892762,4.642582695920877
48,2021-05-04 08:00:00.000,-27.12469117860779,5.641487804985145
49,2021-05-04 08:10:00.000,-25.724832529956796,5.189231037745891
50,2021-05-04 08:20:00.000,-25.9781174110443,4.506534141803014
51,2021-05-04 08:30:00.000,-25.352871118456026,4.098155151413142
52,2021-05-04 08:40:00.000,-26.061050230257607,5.0995314475867195
53,2021-05-04 08:50:00.000,-26.070646296116347,4.508460857668305
54,2021-05-04 09:00:00.000,-25.19349520746177,4.643718191803551
55,2021-05-04 09:10:00.000,-24.791851381770293,5.4197386285682345
56,2021-05-04 09:20:00.000,-24.022572496047253,4.809300362136609
57,2021-05-04 09:30:00.000,-23.65154711673711,4.4270800676639235
58,2021-05-04 09:40:00.000,-23.611929256480224,4.380588932297671
59,2021-05-04 09:50:00.000,-25.17927622338347,6.981070719655992
60,2021-05-04 10:00:00.000,-25.986818291505916,4.943916505021177
61,2021-05-04 10:10:00.000,-25.63938642680432,4.638052161218893
62,2021-05-04 10:20:00.000,-25.950130052020953,4.668467792045424
63,2021-05-04 10:30:00.000,-27.29331899314245,6.496479759511468
64,2021-05-04 10:40:00.000,-25.99095516721602,4.317170764203844
65,2021-05-04 10:50:00.000,-27.075890365355885,5.174309290622283
66,2021-05-04 11:00:00.000,-27.164969351101398,4.486175736090132
67,2021-05-04 11:10:00.000,-29.4268726008923,4.75216255019809
68,2021-05-04 11:20:00.000,-28.032865958988165,4.672673244678982
69,2021-05-04 11:30:00.000,-28.169938045229873,4.757389889342112
70,2021-05-04 11:40:00.000,-27.095096490182133,4.494651956544061
71,2021-05-04 11:50:00.000,-27.16177465901343,6.527675391902179
72,2021-05-04 12:00:00.000,-27.962808705432824,4.8859522732143414
73,2021-05-04 12:10:00.000,-28.66308170995678,4.801684206613505
74,2021-05-04 12:20:00.000,-26.37227224363617,4.131726881433071
75,2021-05-04 12:30:00.000,-27.41661643560386,6.4347588229184876
76,2021-05-04 12:40:00.000,-27.66252731551531,4.4401296659477225
77,2021-05-04 12:50:00.000,-28.333408124516456,4.466398834074697
78,2021-05-04 13:00:00.000,-28.51456609092008,4.263021598299963
79,2021-05-04 13:10:00.000,-26.035742543880982,4.246575407494992
80,2021-05-04 13:20:00.000,-25.58501520391138,4.568161114152631
81,2021-05-04 13:30:00.000,-26.262150251651928,4.611804824055968
82,2021-05-04 13:40:00.000,-26.397170930035653,4.796702631500148
83,2021-05-04 13:50:00.000,-24.950954861111235,4.322263984179098
84,2021-05-04 14:00:00.000,-25.921397968448602,4.961865355604606
85,2021-05-04 14:10:00.000,-26.686336204493607,5.188089790142875
86,2021-05-04 14:20:00.000,-25.164547559424484,4.978099387240967
87,2021-05-04 14:30:00.000,-24.880792799693634,4.641979700770813
88,2021-05-04 14:40:00.000,-24.493718494488842,4.394877584142848
89,2021-05-04 14:50:00.000,-25.096726190476243,5.06054514571943
90,2021-05-04 15:00:00.000,-25.951074514253882,4.294670488462379
91,2021-05-04 15:10:00.000,-26.04650670887088,5.239250654673849
92,2021-05-04 15:20:00.000,-26.48516440573891,6.463499880065081
93,2021-05-04 15:30:00.000,-26.913012478803118,4.9804842803491765
94,2021-05-04 15:40:00.000,-25.421563272089312,4.049228716404971
95,2021-05-04 15:50:00.000,-25.718038126731138,4.481552657376434
96,2021-05-04 16:00:00.000,-26.13879490921666,4.337067576768428
97,2021-05-04 16:10:00.000,-24.707643972963425,4.218086255336481
98,2021-05-04 16:20:00.000,-25.242398919938953,4.3419944522812495
99,2021-05-04 16:30:00.000,-25.068300272385123,4.234291461420449
100,2021-05-04 16:40:00.000,-26.063863672559314,4.516963474562541
101,2021-05-04 16:50:00.000,-24.786309021922428,4.124695604873385
102,2021-05-04 17:00:00.000,-25.737602237093054,4.6662830205267065
103,2021-05-04 17:10:00.000,-27.013045931438374,4.153909747285735
104,2021-05-04 17:20:00.000,-26.444126518056898,5.128822115999765
105,2021-05-04 17:30:00.000,-25.535994629521856,4.708476748871941
106,2021-05-04 17:40:00.000,-24.801641535504025,4.429970213629461
107,2021-05-04 17:50:00.000,-24.497347568762653,4.072968368777178
108,2021-05-04 18:00:00.000,-25.073607122916172,5.108935272908992
